234.37,0,1
0,239.57,1
234,0,1
0,236.2,1
241,0,1
0,242,1
241.75,0,1
0,242.16,1
242.3,0,1
0,241.9,1
249.5,0,1
0,251.5,1
250.5,0,1
249.8,0,1
246.4,0,1
236.46,0,1
237.17,0,1
0,243.2,2
242.17,0,1
241.6,0,1
237.68,0,1
0,240.3,1
0,243.18,1
0,242.66,1
242.14,0,1
0,242.93,1
241.75,0,1
242.16,0,1
242.07,0,1
241.79,0,1
240,0,1
0,243.07,1
0,244,1
0,244,1
242,0,1
241,0,1
0,244.2,1
242.39,0,1
239.58,0,1
238.32,0,1
234.49,0,1
0,237.11,1
0,235.22,1
0,235.35,1
0,235.68,1
235.02,0,1
234.29,0,1
0,234.43,1
0,237.03,1
234.02,0,1
234.31,0,1
0,234.99,1
235.01,0,2
234.2,0,1
232.96,0,1
0,235.75,3
232.25,0,1
230.25,0,1
228.25,0,1
0,230.75,1
0,241.75,3
0,243.94,3
0,246.54,3
247.03,0,1
246.25,0,1
0,246.98,3
250.98,0,1
0,253.79,1
238.93,0,13
214.09,0,1
0,211.57,14
212.18,0,7
212.25,0,7
0,198.3,14
189.1301,0,14
0,187.62,14
183.03,0,3
0,183.22,3
186.87,0,2
190.05,0,1
190.05,0,1
0,187.73,4
190.17,0,24
0,193.38,24
197.09,0,12
0,197.93,1
193.21,0,1
193.35,0,1
193.64,0,1
193.53,0,1
195,0,1
193.95,0,1
192.57,0,1
0,195.99,1
0,196.99,1
0,200.97,1
0,203.12,1
199.95,0,1
0,205,1
187.94,0,1
187.74,0,1
187.55,0,1
0,187.43,17
188.32,0,18
0,188.74,1
0,182.16,1
179.4,0,1
0,173.85,1
0,175.84,1
0,175.89,1
0,176.18,1
0,161.89,2
0,162.18,1
0,162.11,1
0,161.77,1
0,161.43,2
0,163.8,1
0,163.94,1
0,164.64,1
0,175.01,1
169.34,0,1
178.48,0,1
171.25,0,1
170.72,0,1
169.88,0,1
166,0,1
160.77,0,1
156.08,0,1
150.13,0,1
144.61,0,1
0,161.76,1
